target,tau,ERNN,L-ER,pinball_ERNN_minus_LER,pinball_ERNN_rel_improve_pct,expectile_ERNN_rel_improve_pct
eua_return,0.05,0.003076655612696497,0.0029914890973356074,8.516651536088961e-05,-2.846960580158685,-1.7197235260117274
eua_return,0.1,0.004573942550781463,0.0046087419230572205,-3.4799372275757384e-05,0.7550731383256352,1.31048770719663
eua_return,0.25,0.007446315485591711,0.007489062722065447,-4.2747236473735656e-05,0.5707955462542338,0.39146328771545197
eua_return,0.5,0.008967848693311737,0.009019907042274901,-5.205834896316458e-05,0.5771495062995128,1.528428082709472
eua_return,0.75,0.0073995863128214975,0.0073147942972659,8.479201555559781e-05,-1.1591852362450041,-2.1514990051581666
eua_return,0.9,0.004474552328856225,0.0043400270057386975,0.00013452532311752745,-3.099642535395479,-4.436340339281464
eua_return,0.95,0.002761783137556274,0.0027612013670467827,5.817705094912119e-07,-0.02106947057300059,-2.118556965274252
msci_energy_return,0.05,0.001908758209405596,0.001845178933949047,6.357927545654887e-05,-3.445697015436691,-1.257239142206651
msci_energy_return,0.1,0.002913608945510632,0.0027885108559411505,0.0001250980895694813,-4.486196971510783,-14.090458536687777
msci_energy_return,0.25,0.004452152123950369,0.0044351558514869795,1.699627246338955e-05,-0.3832170284994876,-2.747600217411145
msci_energy_return,0.5,0.005264146162335771,0.005162704831591745,0.00010144133074402577,-1.9648872839540157,-7.692499049355428
msci_energy_return,0.75,0.004174498118037305,0.0041175163605337815,5.698175750352367e-05,-1.3838866081915637,-2.908959391854569
msci_energy_return,0.9,0.002482126044860804,0.002442368159284619,3.9757885576185373e-05,-1.6278416267853184,-1.270612507316056
msci_energy_return,0.95,0.0015715727993963105,0.0015238233957480158,4.774940364829462e-05,-3.133526088491071,-0.021640105333035176
msci_materials_return,0.05,0.0013215608478228413,0.0012908277646684532,3.0733083154388125e-05,-2.380881787298855,-0.7708850704949524
msci_materials_return,0.1,0.0021011744714986226,0.002023934126932505,7.724034456611751e-05,-3.816346764367463,-4.357320135267898
msci_materials_return,0.25,0.0033582532390473477,0.0033640206196097994,-5.7673805624516156e-06,0.1714430800106269,-2.398888433018918
msci_materials_return,0.5,0.004105865751469498,0.004059932209202088,4.593354226740953e-05,-1.1313869271831265,-10.225117173582742
msci_materials_return,0.75,0.0032839342272941267,0.0032209581552111594,6.297607208296738e-05,-1.9551968404519307,-5.782176692391883
msci_materials_return,0.9,0.0020429306911796995,0.00193359736491764,0.00010933332626205956,-5.654399837616479,-20.0196247102889
msci_materials_return,0.95,0.001334365145210777,0.0012460039640507048,8.83611811600721e-05,-7.091565011784853,-5.601800740964602
