variable,mean,std,min,max,skewness,kurtosis,JB_stat,JB_pvalue,ADF_stat,ADF_pvalue
EUA 碳期货,0.0011352866812255056,0.026268065136389795,-0.1773467239893781,0.1613776266583611,-0.4649005429900904,4.6945937603594325,1935.3660835979817,0.0,-19.930915489060432,0.0
MSCI 能源,7.380160725293464e-05,0.017227582082603093,-0.2123182813285119,0.1567041938277314,-1.372511027953788,23.334064676894307,46645.15937658054,0.0,-15.318225691344333,4.097874262032108e-28
MSCI 材料,0.00015329011871670903,0.01140378900912026,-0.1132595754448555,0.0984556138615953,-0.700971954555279,10.94028304171904,10279.86775948487,0.0,-14.526312826377834,5.42125435792636e-27
