target,index,model,tau,prediction,actual,pinball
eua_return,1003,ERNN,0.05,-0.020467162132263184,0.0541774183511734,0.0037322291173040867
eua_return,1003,ERNN,0.1,-0.015915140509605408,0.0541774183511734,0.007009256165474653
eua_return,1003,ERNN,0.5,0.012178689241409302,0.0541774183511734,0.02099936455488205
eua_return,1003,ERNN,0.9,0.029311135411262512,0.0541774183511734,0.02237965352833271
eua_return,1003,ERNN,0.95,0.04125663638114929,0.0541774183511734,0.012274743057787418
eua_return,1004,L-ER,0.05,-0.029416702687740326,-0.14663417637348175,0.11135660111904144
eua_return,1004,L-ER,0.1,-0.023075347766280174,-0.14663417637348175,0.11120294034481049
eua_return,1004,L-ER,0.5,-0.0013564772671088576,-0.14663417637348175,0.0726388469338417
eua_return,1004,L-ER,0.9,0.02351829782128334,-0.14663417637348175,0.01701524667441845
eua_return,1004,L-ER,0.95,0.030854813754558563,-0.14663417637348175,0.008874448947608471
eua_return,1004,ERNN,0.05,-0.027597397565841675,-0.14663417637348175,0.11308494210243225
eua_return,1004,ERNN,0.1,-0.024461477994918823,-0.14663417637348175,0.10995542258024216
eua_return,1004,ERNN,0.5,-0.001489594578742981,-0.14663417637348175,0.07257229089736938
eua_return,1004,ERNN,0.9,0.01924142986536026,-0.14663417637348175,0.01658756099641323
eua_return,1004,ERNN,0.95,0.026699483394622803,-0.14663417637348175,0.008666682988405228
eua_return,1005,L-ER,0.05,-0.0354369580745697,0.07881567627191544,0.0057126316241919994
eua_return,1005,L-ER,0.1,-0.020761091262102127,0.07881567627191544,0.009957677684724331
eua_return,1005,L-ER,0.5,0.009754283353686333,0.07881567627191544,0.03453069552779198
eua_return,1005,L-ER,0.9,0.03010880947113037,0.07881567627191544,0.04383618012070656
eua_return,1005,L-ER,0.95,0.03912167251110077,0.07881567627191544,0.037709303200244904
eua_return,1005,ERNN,0.05,-0.019774407148361206,0.07881567627191544,0.004929504357278347
eua_return,1005,ERNN,0.1,-0.020602747797966003,0.07881567627191544,0.009941842406988144
eua_return,1005,ERNN,0.5,0.03295925259590149,0.07881567627191544,0.022928211838006973
eua_return,1005,ERNN,0.9,0.03336237370967865,0.07881567627191544,0.04090797156095505
eua_return,1005,ERNN,0.95,0.03435453772544861,0.07881567627191544,0.042238082736730576
eua_return,1006,L-ER,0.05,-0.03602881729602814,0.010310010053217411,0.00231694127433002
eua_return,1006,L-ER,0.1,-0.02693183161318302,0.010310010053217411,0.003724184352904558
eua_return,1006,L-ER,0.5,-0.004177429713308811,0.010310010053217411,0.007243719883263111
eua_return,1006,L-ER,0.9,0.0223144069314003,0.010310010053217411,0.001200439757667482
eua_return,1006,L-ER,0.95,0.03065623715519905,0.010310010053217411,0.0010173114715144038
eua_return,1006,ERNN,0.05,-0.02437308430671692,0.010310010053217411,0.0017341546481475234
eua_return,1006,ERNN,0.1,-0.05928075313568115,0.010310010053217411,0.006959076505154371
eua_return,1006,ERNN,0.5,-0.02655884623527527,0.010310010053217411,0.018434427678585052
eua_return,1006,ERNN,0.9,0.014524154365062714,0.010310010053217411,0.00042141444282606244
eua_return,1006,ERNN,0.95,0.027157127857208252,0.010310010053217411,0.000842355948407203
eua_return,1007,L-ER,0.05,-0.02153625711798668,-0.05199598893523216,0.02893674559891224
eua_return,1007,L-ER,0.1,-0.015321914106607437,-0.05199598893523216,0.03300666809082031
eua_return,1007,L-ER,0.5,0.0019076992757618427,-0.05199598893523216,0.02695184387266636
