direction,target,tau,model,pred_mean,pinball_loss,expectile_loss,quantile_r_squared,expectile_r_squared,rmse,mae,elapsed_seconds
股+碳 -> 碳,eua_return,0.95,QRNN,0.0459003672003746,0.0023198809940367937,0.00011914675729404285,-0.03999960422515869,-0.7528139433249543,0.048708975315093994,0.04550142586231232,0.3257629871368408
股+碳 -> 碳,eua_return,0.95,QRF,0.0474123316918166,0.0023671709222407925,0.0001252255414619932,-0.061199624602189306,-0.842241283942802,0.0500166527919819,0.04695677323039062,0.4459090232849121
股+碳 -> 碳,eua_return,0.95,Q-GBM,0.04205332927781041,0.002118809357267591,0.00010093715891298104,0.050140539742886125,-0.48492551170023157,0.04490050886538626,0.04163694792783862,1.3633737564086914
股+碳 -> 碳,eua_return,0.95,ERNN,0.030896862968802452,0.0018444994930177927,6.46101217048391e-05,0.17311328649520874,0.04949555677226525,0.03491159528493881,0.031047509983181953,0.40931105613708496
碳+股 -> 股能源,msci_energy_return,0.05,L-ER,-0.020954767242074013,0.00150122435297817,4.2321153507990164e-05,0.04187607765197754,0.014800158574179045,0.024149397388100624,0.021852148696780205,0.19710898399353027
碳+股 -> 股能源,msci_energy_return,0.05,QRNN,-0.023183926939964294,0.0015101181343197823,4.476505392387525e-05,0.03619980812072754,-0.04209172887723245,0.0259842649102211,0.02387617528438568,0.541733980178833
碳+股 -> 股能源,msci_energy_return,0.05,QRF,-0.0222254488710314,0.0013831101914921744,4.018992921871436e-05,0.11725985613774736,0.06441321629579722,0.025748815642316427,0.02275953424111872,0.42221999168395996
碳+股 -> 股能源,msci_energy_return,0.05,Q-GBM,-0.022770169191169972,0.0014411310975033405,4.2428127170752527e-05,0.08022926867308644,0.012309904248518522,0.025399411661670864,0.023365824341265762,1.3621201515197754
碳+股 -> 股能源,msci_energy_return,0.05,ERNN,-0.021312231197953224,0.0014491882175207138,4.234009231298745e-05,0.07508701086044312,0.014359279577896511,0.02486862801015377,0.022069795057177544,0.42596006393432617
碳+股 -> 股能源,msci_energy_return,0.1,L-ER,-0.016775259748101234,0.0024346027057617903,6.677435532472062e-05,-0.03138613700866699,-0.26342332830383786,0.021008340641856194,0.018280887976288795,0.18059110641479492
碳+股 -> 股能源,msci_energy_return,0.1,QRNN,-0.0183082465082407,0.002376524731516838,6.209434397753852e-05,-0.006782174110412598,-0.17487383225849684,0.021761218085885048,0.019391121342778206,0.5551309585571289
碳+股 -> 股能源,msci_energy_return,0.1,QRF,-0.015805224599431695,0.002207942336631445,5.122196723258165e-05,0.06463544636063756,0.030840088106396157,0.019668783342776514,0.017051539796547003,0.411409854888916
碳+股 -> 股能源,msci_energy_return,0.1,Q-GBM,-0.016118836856057646,0.002290013938385309,5.5053545026900235e-05,0.029866935486349888,-0.041656377730106,0.019820932365401785,0.017466572805355494,1.3632919788360596
碳+股 -> 股能源,msci_energy_return,0.1,ERNN,-0.014140444807708263,0.002229731995612383,5.0993439219797656e-05,0.05540454387664795,0.03516401787132084,0.01839321106672287,0.01576329581439495,0.5493171215057373
碳+股 -> 股能源,msci_energy_return,0.25,L-ER,-0.006677612196654081,0.003579596057534218,6.51603617582068e-05,0.013458847999572754,-0.0007452252047155383,0.013368820771574974,0.01049267128109932,0.17879605293273926
碳+股 -> 股能源,msci_energy_return,0.25,QRNN,-0.006920163985341787,0.0036031617783010006,6.578774013327564e-05,0.006964147090911865,-0.010380621576157045,0.0136500159278512,0.010661077685654163,0.5447030067443848
碳+股 -> 股能源,msci_energy_return,0.25,QRF,-0.006454882107137553,0.0034981759210641478,6.121741920602736e-05,0.03589836668763524,0.05981123620647488,0.012977193278880368,0.010218465048033797,0.4174671173095703
碳+股 -> 股能源,msci_energy_return,0.25,Q-GBM,-0.006911859892937132,0.0035871433636321453,6.438909348897598e-05,0.011378828897969706,0.011100059519895789,0.01345621222362524,0.010624888826069582,1.4047651290893555
碳+股 -> 股能源,msci_energy_return,0.25,ERNN,-0.006982342340052128,0.0036111855879426003,6.590575674418404e-05,0.004752755165100098,-0.012193143125679429,0.013425009325146675,0.010708212852478027,0.29967498779296875
碳+股 -> 股能源,msci_energy_return,0.5,L-ER,0.00016433822747785598,0.00417993264272809,6.589689179602824e-05,-0.017138004302978516,-0.0119487176682469,0.011480147019028664,0.00835986528545618,0.18227291107177734
碳+股 -> 股能源,msci_energy_return,0.5,QRNN,0.0009410110651515424,0.004196504130959511,6.860214818605181e-05,-0.021170377731323242,-0.053492114636375154,0.011713423766195774,0.008393008261919022,0.5737302303314209
